"","Species_Jetz","Species_eBird","Species_BirdLife","Family_eBird","CommonName_eBird","aveUAI","SciName_MUTI","MUTIscore","SciName_UN","Urban"
"3821","Anthus petrosus","Anthus petrosus","Anthus petrosus","Motacillidae (Wagtails and Pipits)","Rock Pipit",1.19996277433333,NA,NA,"Anthus petrosus","N"
"3822","Anthus rubescens","Anthus rubescens","Anthus rubescens","Motacillidae (Wagtails and Pipits)","American Pipit",1.3426336789,"Anthus rubescens",-1.874483901,"Anthus rubescens","N"
"3823","Anthus spragueii","Anthus spragueii","Anthus spragueii","Motacillidae (Wagtails and Pipits)","Sprague's Pipit",0.471789944,"Anthus spragueii",-1.608310965,"Anthus spragueii","N"
"3824","Anthus lutescens","Anthus lutescens","Anthus lutescens","Motacillidae (Wagtails and Pipits)","Yellowish Pipit",1.89059693266667,NA,NA,NA,NA
"3825","Anthus lutescens","Anthus peruvianus","Anthus peruvianus","Motacillidae (Wagtails and Pipits)","Peruvian Pipit",0.9378972715,NA,NA,NA,NA
"3826","Anthus furcatus","Anthus furcatus","Anthus furcatus","Motacillidae (Wagtails and Pipits)","Short-billed Pipit",0.13484365,NA,NA,NA,NA
"3827","Anthus correndera","Anthus correndera","Anthus correndera","Motacillidae (Wagtails and Pipits)","Correndera Pipit",1.16369695075,NA,NA,NA,NA
"3828","Macronyx capensis","Macronyx capensis","Macronyx capensis","Motacillidae (Wagtails and Pipits)","Orange-throated Longclaw",0.92637053,NA,NA,NA,NA
"3829","Macronyx croceus","Macronyx croceus","Macronyx croceus","Motacillidae (Wagtails and Pipits)","Yellow-throated Longclaw",0.399920648,NA,NA,NA,NA
"3830","Fringilla coelebs","Fringilla coelebs","Fringilla coelebs","Fringillidae (Finches, Euphonias, and Allies)","Common Chaffinch",1.693740405,NA,NA,"Fringilla coelebs","U"
"3831","Fringilla montifringilla","Fringilla montifringilla","Fringilla montifringilla","Fringillidae (Finches, Euphonias, and Allies)","Brambling",1.83625583526316,NA,NA,"Fringilla montifringilla","N"
"3832","Euphonia elegantissima","Chlorophonia elegantissima","Euphonia elegantissima","Fringillidae (Finches, Euphonias, and Allies)","Elegant Euphonia",0.9535307935,NA,NA,NA,NA
"3833","Euphonia cyanocephala","Chlorophonia cyanocephala","Euphonia cyanocephala","Fringillidae (Finches, Euphonias, and Allies)","Golden-rumped Euphonia",2.795174569,NA,NA,NA,NA
"3834","Chlorophonia cyanea","Chlorophonia cyanea","Chlorophonia cyanea","Fringillidae (Finches, Euphonias, and Allies)","Blue-naped Chlorophonia",0.70676983025,NA,NA,NA,NA
"3835","Chlorophonia occipitalis","Chlorophonia occipitalis","Chlorophonia occipitalis","Fringillidae (Finches, Euphonias, and Allies)","Blue-crowned Chlorophonia",0.104378282,NA,NA,NA,NA
"3836","Euphonia jamaica","Euphonia jamaica","Euphonia jamaica","Fringillidae (Finches, Euphonias, and Allies)","Jamaican Euphonia",0.626837299,NA,NA,NA,NA
"3837","Euphonia saturata","Euphonia saturata","Euphonia saturata","Fringillidae (Finches, Euphonias, and Allies)","Orange-crowned Euphonia",0.916144701,NA,NA,NA,NA
"3838","Euphonia chlorotica","Euphonia chlorotica","Euphonia chlorotica","Fringillidae (Finches, Euphonias, and Allies)","Purple-throated Euphonia",2.04358536746154,NA,NA,NA,NA
"3839","Euphonia concinna","Euphonia concinna","Euphonia concinna","Fringillidae (Finches, Euphonias, and Allies)","Velvet-fronted Euphonia",0.699373853,NA,NA,NA,NA
"3840","Euphonia trinitatis","Euphonia trinitatis","Euphonia trinitatis","Fringillidae (Finches, Euphonias, and Allies)","Trinidad Euphonia",2.4361365,NA,NA,NA,NA
"3841","Euphonia affinis","Euphonia affinis","Euphonia affinis","Fringillidae (Finches, Euphonias, and Allies)","Scrub Euphonia",0.93588969925,NA,NA,NA,NA
"3842","Euphonia luteicapilla","Euphonia luteicapilla","Euphonia luteicapilla","Fringillidae (Finches, Euphonias, and Allies)","Yellow-crowned Euphonia",1.998424579,NA,NA,NA,NA
"3843","Euphonia chrysopasta","Euphonia chrysopasta","Euphonia chrysopasta","Fringillidae (Finches, Euphonias, and Allies)","Golden-bellied Euphonia",0.8452434645,NA,NA,NA,NA
"3844","Euphonia minuta","Euphonia minuta","Euphonia minuta","Fringillidae (Finches, Euphonias, and Allies)","White-vented Euphonia",0.410090369,NA,NA,NA,NA
"3845","Euphonia violacea","Euphonia violacea","Euphonia violacea","Fringillidae (Finches, Euphonias, and Allies)","Violaceous Euphonia",2.3298663784,NA,NA,NA,NA
"3846","Euphonia hirundinacea","Euphonia hirundinacea","Euphonia hirundinacea","Fringillidae (Finches, Euphonias, and Allies)","Yellow-throated Euphonia",0.33881783875,NA,NA,NA,NA
"3847","Euphonia laniirostris","Euphonia laniirostris","Euphonia laniirostris","Fringillidae (Finches, Euphonias, and Allies)","Thick-billed Euphonia",1.07919629733333,NA,NA,NA,NA
"3848","Euphonia fulvicrissa","Euphonia fulvicrissa","Euphonia fulvicrissa","Fringillidae (Finches, Euphonias, and Allies)","Fulvous-vented Euphonia",0.404262335,NA,NA,NA,NA
"3849","Euphonia anneae","Euphonia anneae","Euphonia anneae","Fringillidae (Finches, Euphonias, and Allies)","Tawny-capped Euphonia",0.178851835,NA,NA,NA,NA
"3850","Euphonia xanthogaster","Euphonia xanthogaster","Euphonia xanthogaster","Fringillidae (Finches, Euphonias, and Allies)","Orange-bellied Euphonia",0.2930690188,NA,NA,NA,NA
"3851","Euphonia rufiventris","Euphonia rufiventris","Euphonia rufiventris","Fringillidae (Finches, Euphonias, and Allies)","Rufous-bellied Euphonia",0.002544047,NA,NA,NA,NA
"3852","Euphonia pectoralis","Euphonia pectoralis","Euphonia pectoralis","Fringillidae (Finches, Euphonias, and Allies)","Chestnut-bellied Euphonia",1.44831792566667,NA,NA,NA,NA
"3853","Coccothraustes abeillei","Coccothraustes abeillei","Hesperiphona abeillei","Fringillidae (Finches, Euphonias, and Allies)","Hooded Grosbeak",0.835864894,NA,NA,NA,NA
"3854","Coccothraustes vespertinus","Coccothraustes vespertinus","Hesperiphona vespertina","Fringillidae (Finches, Euphonias, and Allies)","Evening Grosbeak",1.05892670944444,"Coccothraustes vespertinus",-0.2750208,NA,NA
"3855","Coccothraustes coccothraustes","Coccothraustes coccothraustes","Coccothraustes coccothraustes","Fringillidae (Finches, Euphonias, and Allies)","Hawfinch",2.06224314557895,NA,NA,NA,NA
"3856","Eophona migratoria","Eophona migratoria","Eophona migratoria","Fringillidae (Finches, Euphonias, and Allies)","Yellow-billed Grosbeak",3.064637038,NA,NA,NA,NA
"3857","Eophona personata","Eophona personata","Eophona personata","Fringillidae (Finches, Euphonias, and Allies)","Japanese Grosbeak",1.428700405,NA,NA,NA,NA
"3858","Himatione sanguinea","Himatione sanguinea","Himatione sanguinea","Fringillidae (Finches, Euphonias, and Allies)","Apapane",0.738530455,NA,NA,NA,NA
"3859","Hemignathus flavus","Chlorodrepanis flava","Chlorodrepanis flava","Fringillidae (Finches, Euphonias, and Allies)","Oahu Amakihi",1.012915678,NA,NA,NA,NA
"3860","Carpodacus erythrinus","Carpodacus erythrinus","Carpodacus erythrinus","Fringillidae (Finches, Euphonias, and Allies)","Common Rosefinch",2.21447163733333,NA,NA,"Carpodacus erythrinus","N"
"3861","Carpodacus vinaceus","Carpodacus formosanus","Carpodacus formosanus","Fringillidae (Finches, Euphonias, and Allies)","Taiwan Rosefinch",0.010438629,NA,NA,NA,NA
"3862","Uragus sibiricus","Carpodacus sibiricus","Carpodacus sibiricus","Fringillidae (Finches, Euphonias, and Allies)","Long-tailed Rosefinch",1.285854017,NA,NA,NA,NA
"3863","Pinicola enucleator","Pinicola enucleator","Pinicola enucleator","Fringillidae (Finches, Euphonias, and Allies)","Pine Grosbeak",1.43936043158333,NA,NA,NA,NA
"3864","Pyrrhula nipalensis","Pyrrhula nipalensis","Pyrrhula nipalensis","Fringillidae (Finches, Euphonias, and Allies)","Brown Bullfinch",0.132499665,NA,NA,NA,NA
"3865","Pyrrhula pyrrhula","Pyrrhula pyrrhula","Pyrrhula pyrrhula","Fringillidae (Finches, Euphonias, and Allies)","Eurasian Bullfinch",1.463416481,NA,NA,NA,NA
"3866","Bucanetes githagineus","Bucanetes githagineus","Bucanetes githagineus","Fringillidae (Finches, Euphonias, and Allies)","Trumpeter Finch",1.091443318,NA,NA,NA,NA
"3867","Leucosticte tephrocotis","Leucosticte tephrocotis","Leucosticte tephrocotis","Fringillidae (Finches, Euphonias, and Allies)","Gray-crowned Rosy-Finch",0.7182426808,NA,NA,NA,NA
"3868","Leucosticte atrata","Leucosticte atrata","Leucosticte atrata","Fringillidae (Finches, Euphonias, and Allies)","Black Rosy-Finch",1.0330499945,NA,NA,NA,NA
"3869","Leucosticte australis","Leucosticte australis","Leucosticte australis","Fringillidae (Finches, Euphonias, and Allies)","Brown-capped Rosy-Finch",0.793821644,NA,NA,NA,NA
"3870","Carpodacus mexicanus","Haemorhous mexicanus","Haemorhous mexicanus","Fringillidae (Finches, Euphonias, and Allies)","House Finch",2.64873375872414,"Haemorhous mexicanus",2.652770107,"Carpodacus mexicanus","U"
"3871","Carpodacus purpureus","Haemorhous purpureus","Haemorhous purpureus","Fringillidae (Finches, Euphonias, and Allies)","Purple Finch",1.63127801894737,"Haemorhous purpureus",0.141671946,"Carpodacus purpureus","U"
"3872","Carpodacus cassinii","Haemorhous cassinii","Haemorhous cassinii","Fringillidae (Finches, Euphonias, and Allies)","Cassin's Finch",0.957950159,"Haemorhous cassinii",-1.521876927,"Carpodacus cassinii","N"
"3873","Carduelis chloris","Chloris chloris","Chloris chloris","Fringillidae (Finches, Euphonias, and Allies)","European Greenfinch",2.044688733,NA,NA,"Carduelis chloris","U"
"3874","Carduelis sinica","Chloris sinica","Chloris sinica","Fringillidae (Finches, Euphonias, and Allies)","Oriental Greenfinch",2.503728178,NA,NA,NA,NA
"3875","Serinus leucopygius","Crithagra leucopygia","Crithagra leucopygia","Fringillidae (Finches, Euphonias, and Allies)","White-rumped Seedeater",1.256489796,NA,NA,NA,NA
"3876","Serinus mozambicus","Crithagra mozambica","Crithagra mozambica","Fringillidae (Finches, Euphonias, and Allies)","Yellow-fronted Canary",1.763986444,NA,NA,NA,NA
"3877","Serinus citrinelloides","Crithagra citrinelloides","Crithagra citrinelloides","Fringillidae (Finches, Euphonias, and Allies)","African Citril",1.7905575165,NA,NA,NA,NA
"3878","Serinus scotops","Crithagra scotops","Crithagra scotops","Fringillidae (Finches, Euphonias, and Allies)","Forest Canary",1.272647019,NA,NA,NA,NA
"3879","Serinus atrogularis","Crithagra atrogularis","Crithagra atrogularis","Fringillidae (Finches, Euphonias, and Allies)","Black-throated Canary",2.116266207,NA,NA,NA,NA
"3880","Serinus xanthopygius","Crithagra reichenowi","Crithagra reichenowi","Fringillidae (Finches, Euphonias, and Allies)","Reichenow's Seedeater",1.271875323,NA,NA,NA,NA
"3881","Serinus dorsostriatus","Crithagra dorsostriata","Crithagra dorsostriata","Fringillidae (Finches, Euphonias, and Allies)","White-bellied Canary",0.767166956,NA,NA,NA,NA
"3882","Serinus sulphuratus","Crithagra sulphurata","Crithagra sulphurata","Fringillidae (Finches, Euphonias, and Allies)","Brimstone Canary",1.31064637233333,NA,NA,NA,NA
"3883","Serinus flaviventris","Crithagra flaviventris","Crithagra flaviventris","Fringillidae (Finches, Euphonias, and Allies)","Yellow Canary",1.0723950645,NA,NA,NA,NA
"3884","Serinus striolatus","Crithagra striolata","Crithagra striolata","Fringillidae (Finches, Euphonias, and Allies)","Streaky Seedeater",1.9739325105,NA,NA,NA,NA
"3885","Serinus gularis","Crithagra gularis","Crithagra gularis","Fringillidae (Finches, Euphonias, and Allies)","Streaky-headed Seedeater",2.28733987,NA,NA,NA,NA
"3886","Serinus tristriatus","Crithagra tristriata","Crithagra tristriata","Fringillidae (Finches, Euphonias, and Allies)","Brown-rumped Seedeater",2.324320672,NA,NA,NA,NA
"3887","Serinus totta","Crithagra totta","Crithagra totta","Fringillidae (Finches, Euphonias, and Allies)","Cape Siskin",0.395187997,NA,NA,NA,NA
"3888","Carduelis flavirostris","Linaria flavirostris","Linaria flavirostris","Fringillidae (Finches, Euphonias, and Allies)","Twite",1.7099698455,NA,NA,NA,NA
"3889","Carduelis cannabina","Linaria cannabina","Linaria cannabina","Fringillidae (Finches, Euphonias, and Allies)","Eurasian Linnet",1.15240143726316,NA,NA,"Carduelis cannabina","U"
"3890","Carduelis flammea","Acanthis flammea","Acanthis flammea","Fringillidae (Finches, Euphonias, and Allies)","Common Redpoll",2.04589429205556,NA,NA,"Carduelis flammea","U"
"3891","Carduelis flammea","Acanthis cabaret","Acanthis flammea","Fringillidae (Finches, Euphonias, and Allies)","Lesser Redpoll",1.1210135875,NA,NA,"Carduelis flammea","U"
"3892","Carduelis hornemanni","Acanthis hornemanni","Acanthis flammea","Fringillidae (Finches, Euphonias, and Allies)","Hoary Redpoll",1.63181252933333,NA,NA,"Carduelis hornemanni","N"
"3893","Loxia pytyopsittacus","Loxia pytyopsittacus","Loxia pytyopsittacus","Fringillidae (Finches, Euphonias, and Allies)","Parrot Crossbill",1.2595224335,NA,NA,"Loxia pytyopsittacus","N"
"3894","Loxia scotica","Loxia scotica","Loxia scotica","Fringillidae (Finches, Euphonias, and Allies)","Scottish Crossbill",NA,NA,NA,"Loxia scotica","N"
"3895","Loxia curvirostra","Loxia curvirostra","Loxia curvirostra","Fringillidae (Finches, Euphonias, and Allies)","Red Crossbill",1.57732138008,"Loxia curvirostra",-1.116363788,"Loxia curvirostra","U"
"3896","Loxia leucoptera","Loxia leucoptera","Loxia leucoptera","Fringillidae (Finches, Euphonias, and Allies)","White-winged Crossbill",2.03660076442857,"Loxia leucoptera",-1.068071948,"Loxia leucoptera","N"
"3897","Carduelis carduelis","Carduelis carduelis","Carduelis carduelis","Fringillidae (Finches, Euphonias, and Allies)","European Goldfinch",1.67133451353333,NA,NA,"Carduelis carduelis","U"
"3898","Carduelis citrinella","Carduelis citrinella","Carduelis citrinella","Fringillidae (Finches, Euphonias, and Allies)","Citril Finch",0.604377872,NA,NA,"Carduelis citrinella","U"
"3899","Serinus serinus","Serinus serinus","Serinus serinus","Fringillidae (Finches, Euphonias, and Allies)","European Serin",2.18701887628571,NA,NA,"Serinus serinus","U"
"3900","Serinus canaria","Serinus canaria","Serinus canaria","Fringillidae (Finches, Euphonias, and Allies)","Island Canary",2.784885276,NA,NA,"Serinus canaria","U"
"3901","Serinus pusillus","Serinus pusillus","Serinus pusillus","Fringillidae (Finches, Euphonias, and Allies)","Fire-fronted Serin",NA,NA,NA,"Serinus pusillus","N"
"3902","Serinus syriacus","Serinus syriacus","Serinus syriacus","Fringillidae (Finches, Euphonias, and Allies)","Syrian Serin",0.96119845,NA,NA,"Serinus syriacus","N"
"3903","Serinus flavivertex","Serinus flavivertex","Serinus flavivertex","Fringillidae (Finches, Euphonias, and Allies)","Yellow-crowned Canary",0.564103538,NA,NA,NA,NA
"3904","Serinus canicollis","Serinus canicollis","Serinus canicollis","Fringillidae (Finches, Euphonias, and Allies)","Cape Canary",1.5377954495,NA,NA,NA,NA
"3905","Carduelis spinus","Spinus spinus","Spinus spinus","Fringillidae (Finches, Euphonias, and Allies)","Eurasian Siskin",1.83985609982609,NA,NA,"Carduelis spinus","U"
"3906","Carduelis pinus","Spinus pinus","Spinus pinus","Fringillidae (Finches, Euphonias, and Allies)","Pine Siskin",1.81203956192857,"Spinus pinus",-0.945585905,"Carduelis pinus","U"
"3907","Carduelis notata","Spinus notatus","Spinus notatus","Fringillidae (Finches, Euphonias, and Allies)","Black-headed Siskin",0.843994268,NA,NA,NA,NA
"3908","Carduelis psaltria","Spinus psaltria","Spinus psaltria","Fringillidae (Finches, Euphonias, and Allies)","Lesser Goldfinch",1.95165114225,"Spinus psaltria",2.220846486,"Carduelis psaltria","U"
"3909","Carduelis lawrencei","Spinus lawrencei","Spinus lawrencei","Fringillidae (Finches, Euphonias, and Allies)","Lawrence's Goldfinch",1.18737413525,"Spinus lawrencei",-0.301242075,"Carduelis lawrencei","N"
"3910","Carduelis tristis","Spinus tristis","Spinus tristis","Fringillidae (Finches, Euphonias, and Allies)","American Goldfinch",1.89761657888,"Spinus tristis",1.742541926,"Carduelis tristis","U"
"3911","Carduelis spinescens","Spinus spinescens","Spinus spinescens","Fringillidae (Finches, Euphonias, and Allies)","Andean Siskin",1.962427958,NA,NA,NA,NA
"3912","Carduelis magellanica","Spinus magellanicus","Spinus magellanicus","Fringillidae (Finches, Euphonias, and Allies)","Hooded Siskin",2.02946147275,NA,NA,NA,NA
"3913","Carduelis siemiradzkii","Spinus siemiradzkii","Spinus siemiradzkii","Fringillidae (Finches, Euphonias, and Allies)","Saffron Siskin",1.684418121,NA,NA,NA,NA
"3914","Carduelis olivacea","Spinus olivaceus","Spinus olivaceus","Fringillidae (Finches, Euphonias, and Allies)","Olivaceous Siskin",0.046360917,NA,NA,NA,NA
"3915","Carduelis atrata","Spinus atratus","Spinus atratus","Fringillidae (Finches, Euphonias, and Allies)","Black Siskin",0.088658172,NA,NA,NA,NA
"3916","Carduelis uropygialis","Spinus uropygialis","Spinus uropygialis","Fringillidae (Finches, Euphonias, and Allies)","Yellow-rumped Siskin",0.353805663,NA,NA,NA,NA
"3917","Carduelis barbata","Spinus barbatus","Spinus barbatus","Fringillidae (Finches, Euphonias, and Allies)","Black-chinned Siskin",2.14551151625,NA,NA,NA,NA
"3918","Calcarius lapponicus","Calcarius lapponicus","Calcarius lapponicus","Calcariidae (Longspurs and Snow Buntings)","Lapland Longspur",0.854378095,NA,NA,NA,NA
"3919","Calcarius ornatus","Calcarius ornatus","Calcarius ornatus","Calcariidae (Longspurs and Snow Buntings)","Chestnut-collared Longspur",0.134246524,"Calcarius ornatus",-2.035067957,NA,NA
"3920","Calcarius pictus","Calcarius pictus","Calcarius pictus","Calcariidae (Longspurs and Snow Buntings)","Smith's Longspur",1.909289104,NA,NA,NA,NA
"3921","Calcarius mccownii","Rhynchophanes mccownii","Rhynchophanes mccownii","Calcariidae (Longspurs and Snow Buntings)","Thick-billed Longspur",0.02923248,"Rhynchophanes mccownii",-1.827146694,NA,NA
"3922","Plectrophenax nivalis","Plectrophenax nivalis","Plectrophenax nivalis","Calcariidae (Longspurs and Snow Buntings)","Snow Bunting",1.22700784583333,NA,NA,NA,NA
"3923","Rhodinocichla rosea","Rhodinocichla rosea","Rhodinocichla rosea","Rhodinocichlidae (Thrush-Tanager)","Rosy Thrush-Tanager",1.082968236,NA,NA,NA,NA
"3924","Melophus lathami","Emberiza lathami","Emberiza lathami","Emberizidae (Old World Buntings)","Crested Bunting",0.8811914305,NA,NA,NA,NA
"3925","Emberiza melanocephala","Emberiza melanocephala","Emberiza melanocephala","Emberizidae (Old World Buntings)","Black-headed Bunting",1.03261970333333,NA,NA,"Emberiza melanocephala","N"
"3926","Emberiza bruniceps","Emberiza bruniceps","Emberiza bruniceps","Emberizidae (Old World Buntings)","Red-headed Bunting",1.5745934135,NA,NA,"Emberiza bruniceps","N"
"3927","Miliaria calandra","Emberiza calandra","Emberiza calandra","Emberizidae (Old World Buntings)","Corn Bunting",0.803513489666667,NA,NA,NA,NA
"3928","Emberiza fucata","Emberiza fucata","Emberiza fucata","Emberizidae (Old World Buntings)","Chestnut-eared Bunting",2.4830916525,NA,NA,NA,NA
"3929","Emberiza cia","Emberiza cia","Emberiza cia","Emberizidae (Old World Buntings)","Rock Bunting",0.9886499472,NA,NA,"Emberiza cia","N"
"3930","Emberiza godlewskii","Emberiza godlewskii","Emberiza godlewskii","Emberizidae (Old World Buntings)","Godlewski's Bunting",0.256783377,NA,NA,NA,NA
"3931","Emberiza cioides","Emberiza cioides","Emberiza cioides","Emberizidae (Old World Buntings)","Meadow Bunting",1.089405558,NA,NA,NA,NA
"3932","Emberiza cirlus","Emberiza cirlus","Emberiza cirlus","Emberizidae (Old World Buntings)","Cirl Bunting",1.20693877311111,NA,NA,"Emberiza cirlus","U"
"3933","Emberiza stewarti","Emberiza stewarti","Emberiza stewarti","Emberizidae (Old World Buntings)","White-capped Bunting",1.860871204,NA,NA,NA,NA
"3934","Emberiza citrinella","Emberiza citrinella","Emberiza citrinella","Emberizidae (Old World Buntings)","Yellowhammer",0.766899503733333,NA,NA,"Emberiza citrinella","N"
"3935","Emberiza leucocephalos","Emberiza leucocephalos","Emberiza leucocephalos","Emberizidae (Old World Buntings)","Pine Bunting",NA,NA,NA,"Emberiza leucocephalos","N"
"3936","Emberiza buchanani","Emberiza buchanani","Emberiza buchanani","Emberizidae (Old World Buntings)","Gray-necked Bunting",1.313798433,NA,NA,"Emberiza buchanani","N"
"3937","Emberiza cineracea","Emberiza cineracea","Emberiza cineracea","Emberizidae (Old World Buntings)","Cinereous Bunting",NA,NA,NA,"Emberiza cineracea","N"
"3938","Emberiza hortulana","Emberiza hortulana","Emberiza hortulana","Emberizidae (Old World Buntings)","Ortolan Bunting",0.503557073,NA,NA,"Emberiza hortulana","N"
"3939","Emberiza caesia","Emberiza caesia","Emberiza caesia","Emberizidae (Old World Buntings)","Cretzschmar's Bunting",NA,NA,NA,"Emberiza caesia","N"
"3940","Emberiza flaviventris","Emberiza flaviventris","Emberiza flaviventris","Emberizidae (Old World Buntings)","Golden-breasted Bunting",0.5149917885,NA,NA,NA,NA
"3941","Emberiza capensis","Emberiza capensis","Emberiza capensis","Emberizidae (Old World Buntings)","Cape Bunting",0.292991986,NA,NA,NA,NA
"3942","Emberiza tahapisi","Emberiza tahapisi","Emberiza tahapisi","Emberizidae (Old World Buntings)","Cinnamon-breasted Bunting",1.4544486105,NA,NA,NA,NA
"3943","Emberiza striolata","Emberiza sahari","Emberiza sahari","Emberizidae (Old World Buntings)","House Bunting",3.465375573,NA,NA,NA,NA
"3944","Emberiza striolata","Emberiza striolata","Emberiza striolata","Emberizidae (Old World Buntings)","Striolated Bunting",1.72910297,NA,NA,"Emberiza striolata","U"
"3945","Emberiza elegans","Emberiza elegans","Emberiza elegans","Emberizidae (Old World Buntings)","Yellow-throated Bunting",2.16975694675,NA,NA,NA,NA
"3946","Emberiza pallasi","Emberiza pallasi","Emberiza pallasi","Emberizidae (Old World Buntings)","Pallas's Bunting",1.227912908,NA,NA,NA,NA
"3947","Emberiza schoeniclus","Emberiza schoeniclus","Emberiza schoeniclus","Emberizidae (Old World Buntings)","Reed Bunting",1.24923115805263,NA,NA,"Emberiza schoeniclus","N"
"3948","Emberiza aureola","Emberiza aureola","Emberiza aureola","Emberizidae (Old World Buntings)","Yellow-breasted Bunting",2.765372369,NA,NA,"Emberiza aureola","N"
"3949","Emberiza pusilla","Emberiza pusilla","Emberiza pusilla","Emberizidae (Old World Buntings)","Little Bunting",1.90523317433333,NA,NA,"Emberiza pusilla","N"
"3950","Emberiza rustica","Emberiza rustica","Emberiza rustica","Emberizidae (Old World Buntings)","Rustic Bunting",1.794289081,NA,NA,"Emberiza rustica","N"
"3951","Emberiza sulphurata","Emberiza sulphurata","Emberiza sulphurata","Emberizidae (Old World Buntings)","Yellow Bunting",2.149130724,NA,NA,NA,NA
"3952","Emberiza spodocephala","Emberiza spodocephala","Emberiza spodocephala","Emberizidae (Old World Buntings)","Black-faced Bunting",2.3912582655,NA,NA,NA,NA
"3953","Emberiza chrysophrys","Emberiza chrysophrys","Emberiza chrysophrys","Emberizidae (Old World Buntings)","Yellow-browed Bunting",2.019187405,NA,NA,NA,NA
"3954","Emberiza tristrami","Emberiza tristrami","Emberiza tristrami","Emberizidae (Old World Buntings)","Tristram's Bunting",2.01761982175,NA,NA,NA,NA
"3955","Chlorospingus flavigularis","Chlorospingus flavigularis","Chlorospingus flavigularis","Passerellidae (New World Sparrows)","Yellow-throated Chlorospingus",0,NA,NA,NA,NA
"3956","Chlorospingus parvirostris","Chlorospingus parvirostris","Chlorospingus parvirostris","Passerellidae (New World Sparrows)","Short-billed Chlorospingus",0.0120716,NA,NA,NA,NA
"3957","Chlorospingus canigularis","Chlorospingus canigularis","Chlorospingus canigularis","Passerellidae (New World Sparrows)","Ashy-throated Chlorospingus",0.755839333,NA,NA,NA,NA
"3958","Chlorospingus ophthalmicus","Chlorospingus flavopectus","Chlorospingus flavopectus","Passerellidae (New World Sparrows)","Common Chlorospingus",0.386947607,NA,NA,NA,NA
"3959","Aimophila stolzmanni","Rhynchospiza stolzmanni","Rhynchospiza stolzmanni","Passerellidae (New World Sparrows)","Tumbes Sparrow",0.1506715,NA,NA,NA,NA
"3960","Aimophila strigiceps","Rhynchospiza strigiceps","Rhynchospiza strigiceps","Passerellidae (New World Sparrows)","Chaco Sparrow",1.458638423,NA,NA,NA,NA
"3961","Aimophila carpalis","Peucaea carpalis","Peucaea carpalis","Passerellidae (New World Sparrows)","Rufous-winged Sparrow",NA,"Peucaea carpalis",-0.518588633,NA,NA
"3962","Aimophila ruficauda","Peucaea ruficauda","Peucaea ruficauda","Passerellidae (New World Sparrows)","Stripe-headed Sparrow",0.95066833775,NA,NA,NA,NA
"3963","Aimophila humeralis","Peucaea humeralis","Peucaea humeralis","Passerellidae (New World Sparrows)","Black-chested Sparrow",0.769679352,NA,NA,NA,NA
"3964","Aimophila botterii","Peucaea botterii","Peucaea botterii","Passerellidae (New World Sparrows)","Botteri's Sparrow",2.188989265,NA,NA,NA,NA
"3965","Aimophila cassinii","Peucaea cassinii","Peucaea cassinii","Passerellidae (New World Sparrows)","Cassin's Sparrow",0.747212355333333,"Peucaea cassinii",-1.629471422,NA,NA
"3966","Aimophila aestivalis","Peucaea aestivalis","Peucaea aestivalis","Passerellidae (New World Sparrows)","Bachman's Sparrow",0.525460931,"Peucaea aestivalis",-1.729947459,NA,NA
"3967","Ammodramus savannarum","Ammodramus savannarum","Ammodramus savannarum","Passerellidae (New World Sparrows)","Grasshopper Sparrow",0.828979811846154,"Ammodramus savannarum",-1.084945262,NA,NA
"3968","Ammodramus humeralis","Ammodramus humeralis","Ammodramus humeralis","Passerellidae (New World Sparrows)","Grassland Sparrow",1.172691113,NA,NA,NA,NA
"3969","Ammodramus aurifrons","Ammodramus aurifrons","Ammodramus aurifrons","Passerellidae (New World Sparrows)","Yellow-browed Sparrow",1.43779411425,NA,NA,NA,NA
"3970","Arremonops rufivirgatus","Arremonops rufivirgatus","Arremonops rufivirgatus","Passerellidae (New World Sparrows)","Olive Sparrow",1.14404355566667,NA,NA,NA,NA
"3971","Arremonops conirostris","Arremonops conirostris","Arremonops conirostris","Passerellidae (New World Sparrows)","Black-striped Sparrow",0.88319896625,NA,NA,NA,NA
"3972","Spizella passerina","Spizella passerina","Spizella passerina","Passerellidae (New World Sparrows)","Chipping Sparrow",1.76529028096429,"Spizella passerina",1.025730939,"Spizella passerina","U"
"3973","Spizella pallida","Spizella pallida","Spizella pallida","Passerellidae (New World Sparrows)","Clay-colored Sparrow",1.97122096166667,"Spizella pallida",-0.779165083,NA,NA
"3974","Spizella atrogularis","Spizella atrogularis","Spizella atrogularis","Passerellidae (New World Sparrows)","Black-chinned Sparrow",0.765009075,"Spizella atrogularis",-1.496142374,"Spizella atrogularis","U"
"3975","Spizella pusilla","Spizella pusilla","Spizella pusilla","Passerellidae (New World Sparrows)","Field Sparrow",1.31183116783333,"Spizella pusilla",0.343396123,"Spizella pusilla","N"
"3976","Spizella breweri","Spizella breweri","Spizella breweri","Passerellidae (New World Sparrows)","Brewer's Sparrow",1.34381015883333,"Spizella breweri",-1.668919396,"Spizella breweri","N"
"3977","Amphispiza bilineata","Amphispiza bilineata","Amphispiza bilineata","Passerellidae (New World Sparrows)","Black-throated Sparrow",0.680816734,"Amphispiza bilineata",-1.1603431,NA,NA
