"","Species_Jetz","Species_eBird","Species_BirdLife","Family_eBird","CommonName_eBird","aveUAI","SciName_MUTI","MUTIscore","SciName_UN","Urban"
"149","Melanitta nigra","Melanitta americana","Melanitta americana","Anatidae (Ducks, Geese, and Waterfowl)","Black Scoter",1.89355058288889,NA,NA,NA,NA
"150","Clangula hyemalis","Clangula hyemalis","Clangula hyemalis","Anatidae (Ducks, Geese, and Waterfowl)","Long-tailed Duck",1.79547649978571,NA,NA,NA,NA
"151","Bucephala albeola","Bucephala albeola","Bucephala albeola","Anatidae (Ducks, Geese, and Waterfowl)","Bufflehead",1.76431697559259,"Bucephala albeola",-1.507505551,NA,NA
"152","Bucephala clangula","Bucephala clangula","Bucephala clangula","Anatidae (Ducks, Geese, and Waterfowl)","Common Goldeneye",1.85542648965714,"Bucephala clangula",-0.972651516,NA,NA
"153","Bucephala islandica","Bucephala islandica","Bucephala islandica","Anatidae (Ducks, Geese, and Waterfowl)","Barrow's Goldeneye",1.9536870123,"Bucephala islandica",-1.280978441,NA,NA
"154","Mergellus albellus","Mergellus albellus","Mergellus albellus","Anatidae (Ducks, Geese, and Waterfowl)","Smew",1.42010788616667,NA,NA,NA,NA
"155","Lophodytes cucullatus","Lophodytes cucullatus","Lophodytes cucullatus","Anatidae (Ducks, Geese, and Waterfowl)","Hooded Merganser",2.039399641,"Lophodytes cucullatus",0.972797227,NA,NA
"156","Mergus merganser","Mergus merganser","Mergus merganser","Anatidae (Ducks, Geese, and Waterfowl)","Common Merganser",1.79651855634375,"Mergus merganser",0.08949905,NA,NA
"157","Mergus serrator","Mergus serrator","Mergus serrator","Anatidae (Ducks, Geese, and Waterfowl)","Red-breasted Merganser",1.72443948584375,"Mergus serrator",-1.774224349,NA,NA
"158","Heteronetta atricapilla","Heteronetta atricapilla","Heteronetta atricapilla","Anatidae (Ducks, Geese, and Waterfowl)","Black-headed Duck",1.96177519,NA,NA,NA,NA
"159","Nomonyx dominicus","Nomonyx dominicus","Nomonyx dominicus","Anatidae (Ducks, Geese, and Waterfowl)","Masked Duck",3.037109421,NA,NA,NA,NA
